## dotfiles @custom @squarism
clear search | <leader><ESC>
close buffer | <leader>d
close buffer and leave split | <leader>D
insert dev log date | <leader>N


## nvim-tree @tree
toggle | Ctrl-n
refresh | <leader>r
find file | <leader>n
rename | r
copy relative path | Y
delete file | d
open vertical split | C-v
open horizontal split | C-x
open in new tab | C-t
show hidden files | H
refresh | R
collapse all | W


## telescope
find files | <leader>ff
live grep | <leader>fg
buffers | <leader>fb
help tags | <leader>fh


## gitsigns @git
stage hunk | <leader>hs
reset hunk | <leader>hr
stage buffer | <leader>hS
undo stage hunk | <leader>hu
reset buffer | <leader>hR
preview hunk | <leader>hp
annotate | <leader>ha
toggle current annotate | <leader>ta
diff this | <leader>hd
diff this ? | <leader>hD
toggle deleted | <leader>td


## hop @navigation
hop word | <SPACE><SPACE>
hop pattern | <SPACE>s


## lsp
problems | ]d or [d
errors | <leader>e
hover signature | K
vim.lsp.buf.definition | gd
